iter	Passed	Remaining
0	132	65895
1	136	33888
2	140	23290
3	145	18086
4	152	15048
5	157	12936
6	161	11360
7	165	10198
8	170	9302
9	175	8616
10	180	8009
11	184	7501
12	189	7087
13	193	6722
14	197	6396
15	202	6132
16	207	5888
17	211	5655
18	215	5459
19	220	5282
20	224	5114
21	229	4978
22	233	4840
23	237	4711
24	242	4606
25	247	4505
26	251	4405
27	255	4311
28	260	4227
29	264	4145
30	268	4067
31	272	3991
32	277	3923
33	281	3859
34	285	3795
35	289	3735
36	294	3679
37	298	3628
38	302	3577
39	307	3531
40	310	3480
41	315	3436
42	319	3396
43	323	3350
44	328	3318
45	332	3280
46	336	3243
47	341	3211
48	345	3179
49	349	3146
50	354	3121
51	358	3091
52	363	3065
53	368	3046
54	373	3021
55	377	2996
56	382	2975
57	388	2957
58	393	2942
59	398	2925
60	403	2902
61	408	2886
62	413	2865
63	417	2844
64	421	2822
65	426	2806
66	431	2786
67	436	2770
68	440	2752
69	445	2734
70	449	2717
71	454	2702
72	459	2685
73	463	2668
74	468	2654
75	473	2641
76	477	2624
77	482	2610
78	487	2596
79	491	2580
80	495	2565
81	500	2552
82	504	2535
83	509	2523
84	515	2515
85	520	2504
86	524	2490
87	529	2479
88	534	2470
89	539	2457
90	543	2444
91	548	2432
92	553	2420
93	557	2408
94	562	2397
95	567	2388
96	572	2376
97	576	2365
98	581	2354
99	586	2344
100	590	2333
101	595	2323
102	600	2315
103	605	2304
104	610	2295
105	615	2287
106	620	2277
107	624	2267
108	630	2260
109	635	2252
110	640	2243
111	644	2232
112	649	2224
113	654	2215
114	658	2206
115	663	2198
116	668	2189
117	673	2180
118	678	2171
119	683	2163
120	687	2154
121	692	2145
122	697	2137
123	702	2129
124	707	2122
125	711	2113
126	716	2105
127	722	2099
128	727	2092
129	732	2083
130	736	2075
131	741	2066
132	745	2055
133	749	2048
134	754	2040
135	758	2030
136	763	2022
137	768	2015
138	772	2007
139	777	1998
140	782	1991
141	786	1983
142	791	1976
143	796	1969
144	800	1960
145	804	1951
146	809	1944
147	814	1936
148	818	1928
149	823	1922
150	828	1915
151	833	1907
152	838	1900
153	843	1894
154	847	1887
155	853	1882
156	858	1875
157	863	1868
158	868	1862
159	873	1855
160	878	1849
161	882	1840
162	887	1834
163	891	1827
164	895	1819
165	900	1812
166	905	1805
167	910	1798
168	915	1792
169	920	1786
170	924	1778
171	929	1771
172	934	1765
173	938	1758
174	943	1751
175	948	1745
176	953	1739
177	957	1731
178	961	1724
179	966	1718
180	970	1711
181	975	1705
182	981	1699
183	985	1692
184	990	1685
185	995	1679
186	999	1673
187	1007	1671
188	1012	1666
189	1018	1661
190	1023	1656
191	1029	1651
192	1034	1645
193	1040	1640
194	1045	1634
195	1050	1628
196	1055	1622
197	1059	1616
198	1064	1609
199	1069	1603
200	1073	1597
201	1078	1590
202	1083	1585
203	1088	1579
204	1093	1573
205	1097	1566
206	1102	1561
207	1108	1555
208	1112	1549
209	1117	1543
210	1122	1538
211	1127	1531
212	1132	1525
213	1137	1519
214	1142	1514
215	1146	1507
216	1151	1501
217	1156	1495
218	1161	1490
219	1166	1484
220	1171	1478
221	1176	1472
222	1180	1466
223	1185	1460
224	1190	1454
225	1195	1449
226	1199	1443
227	1204	1437
228	1209	1431
229	1214	1425
230	1219	1419
231	1224	1414
232	1229	1408
233	1236	1405
234	1240	1398
235	1245	1393
236	1250	1387
237	1255	1381
238	1259	1375
239	1264	1369
240	1269	1364
241	1273	1357
242	1278	1352
243	1283	1346
244	1288	1341
245	1293	1335
246	1298	1330
247	1303	1324
248	1308	1318
249	1313	1313
250	1318	1307
251	1323	1302
252	1327	1296
253	1332	1290
254	1337	1284
255	1342	1279
256	1346	1272
257	1350	1266
258	1355	1261
259	1360	1255
260	1365	1250
261	1369	1244
262	1375	1239
263	1380	1234
264	1385	1228
265	1389	1222
266	1394	1217
267	1399	1211
268	1403	1205
269	1409	1200
270	1414	1195
271	1419	1189
272	1423	1183
273	1428	1178
274	1433	1172
275	1437	1166
276	1442	1161
277	1448	1156
278	1453	1150
279	1457	1145
280	1462	1139
281	1468	1134
282	1472	1129
283	1477	1123
284	1482	1118
285	1487	1112
286	1491	1107
287	1496	1101
288	1500	1095
289	1505	1090
290	1511	1085
291	1515	1079
292	1520	1074
293	1525	1069
294	1530	1063
295	1534	1057
296	1539	1052
297	1544	1046
298	1548	1041
299	1553	1035
300	1559	1030
301	1563	1025
302	1568	1019
303	1573	1014
304	1578	1009
305	1582	1003
306	1587	997
307	1592	992
308	1596	986
309	1600	981
310	1605	975
311	1609	970
312	1614	964
313	1618	958
314	1622	953
315	1627	947
